,attendance,away_team,away_team_errors,away_team_hits,away_team_runs,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,weekend,day,month,year
0,"40,030",New York Mets,1,7,3, 3:13,"Night Game, on grass",Kansas City Royals,0,9,4, 7:38 p.m. , Kauffman Stadium,Sunday,3,April, 2016
1,"21,621",Philadelphia Phillies,0,5,2, 2:23,"Night Game, on grass",Cincinnati Reds,0,8,3, 7:11 p.m. , Great American Ball Park,Wednesday,6,April, 2016
2,"12,622",Minnesota Twins,0,5,2, 3:11,"Night Game, on grass",Baltimore Orioles,0,9,4, 7:07 p.m. , Oriole Park at Camden Yards,Wednesday,6,April, 2016
3,"18,531",Washington Nationals,0,8,3, 2:53,"Night Game, on grass",Atlanta Braves,1,8,1, 7:10 p.m. , Turner Field,Wednesday,6,April, 2016
4,"18,572",Colorado Rockies,1,8,4, 2:39,"Day Game, on grass",Arizona Diamondbacks,0,8,3, 12:40 p.m. , Chase Field,Wednesday,6,April, 2016
5,"28,386",Seattle Mariners,1,11,10, 3:30,"Night Game, on grass",Texas Rangers,1,7,2, 7:07 p.m. , Globe Life Park in Arlington,Tuesday,5,April, 2016
6,"12,757",Toronto Blue Jays,0,9,2, 3:07,"Night Game, on turf",Tampa Bay Rays,1,7,3, 7:10 p.m. , Tropicana Field,Tuesday,5,April, 2016
7,"28,329",Los Angeles Dodgers,0,6,3, 2:36,"Night Game, on grass",San Diego Padres,1,2,0, 7:11 p.m. , Petco Park,Tuesday,5,April, 2016
8,"26,049",St. Louis Cardinals,1,8,5, 3:27,"Night Game, on grass",Pittsburgh Pirates,2,12,6, 7:08 p.m. , PNC Park,Tuesday,5,April, 2016
9,"10,478",Chicago White Sox,0,11,5, 3:28,"Night Game, on grass",Oakland Athletics,0,10,4, 7:08 p.m. , Oakland-Alameda County Coliseum,Tuesday,5,April, 2016
10,"47,820",Houston Astros,0,6,5, 3:17,"Day Game, on grass",New York Yankees,1,4,3, 1:11 p.m. , Yankee Stadium III,Tuesday,5,April, 2016
11,"24,123",San Francisco Giants,0,7,2, 2:29,"Night Game, on grass",Milwaukee Brewers,0,6,1, 7:10 p.m. , Miller Park,Tuesday,5,April, 2016
12,"36,911",Detroit Tigers,1,12,8, 3:47,"Night Game, on grass",Miami Marlins,2,10,7, 7:37 p.m. , Marlins Park,Tuesday,5,April, 2016
13,"13,468",Texas Rangers,0,14,7, 3:00,"Night Game, on grass",Seattle Mariners,0,7,3, 7:10 p.m. , Safeco Field,Monday,11,April, 2016
14,"45,229",San Diego Padres,0,6,4, 2:51,"Day Game, on grass",Philadelphia Phillies,0,8,3, 3:09 p.m. , Citizens Bank Park,Monday,11,April, 2016
15,"13,371",Los Angeles Angels of Anaheim,0,9,4, 3:05,"Night Game, on grass",Oakland Athletics,0,10,1, 7:07 p.m. , Oakland-Alameda County Coliseum,Monday,11,April, 2016
16,"24,318",Miami Marlins,1,15,10, 3:45,"Night Game, on grass",New York Mets,0,7,3, 7:11 p.m. , Citi Field,Monday,11,April, 2016
17,"40,638",Chicago White Sox,0,9,4, 3:05,"Day Game, on grass",Minnesota Twins,1,6,1, 3:16 p.m. , Target Field,Monday,11,April, 2016
18,"43,332",Kansas City Royals,0,11,2, 2:59,"Night Game, on grass",Houston Astros,0,14,8, 7:12 p.m. , Minute Maid Park,Monday,11,April, 2016
19,"26,271",Pittsburgh Pirates,1,17,7, 3:17,"Day Game, on grass",Detroit Tigers,0,6,4, 1:10 p.m. , Comerica Park,Monday,11,April, 2016
20,"40,882",Cincinnati Reds,1,7,3, 3:03,"Night Game, on grass",Chicago Cubs,0,3,5, 7:06 p.m. , Wrigley Field,Monday,11,April, 2016
21,"21,203",Kansas City Royals,0,13,6, 2:41,"Night Game, on grass",Houston Astros,0,5,2, 7:11 p.m. , Minute Maid Park,Thursday,14,April, 2016
22,"21,226",San Francisco Giants,1,9,6, 3:26,"Day Game, on grass",Colorado Rockies,3,13,11, 1:10 p.m. , Coors Field,Thursday,14,April, 2016
23,"34,898",Cincinnati Reds,2,6,1, 3:07,"Night Game, on grass",Chicago Cubs,0,11,8, 7:05 p.m. , Wrigley Field,Thursday,14,April, 2016
24,"19,400",Atlanta Braves,0,5,0, 2:12,"Night Game, on grass",Washington Nationals,0,4,3, 7:05 p.m. , Nationals Park,Wednesday,13,April, 2016
25,"27,938",New York Yankees,1,8,2, 2:43,"Night Game, on turf",Toronto Blue Jays,0,10,7, 7:08 p.m. , Rogers Centre,Wednesday,13,April, 2016
26,"16,783",Toronto Blue Jays,0,8,4, 2:50,"Night Game, on grass",Baltimore Orioles,1,7,3, 7:09 p.m. , Oriole Park at Camden Yards,Tuesday,19,April, 2016
27,"14,160",Los Angeles Dodgers,3,5,1, 2:57,"Night Game, on grass",Atlanta Braves,0,10,8, 7:10 p.m. , Turner Field,Tuesday,19,April, 2016
28,"45,432",Chicago Cubs,0,9,5, 2:32,"Night Game, on grass",St. Louis Cardinals,1,5,0, 7:09 p.m. , Busch Stadium III,Monday,18,April, 2016
29,"41,432",Arizona Diamondbacks,0,16,9, 4:35,"Night Game, on grass",San Francisco Giants,0,13,7, 7:16 p.m. , AT&T Park,Monday,18,April, 2016
30,"21,585",New York Mets,0,10,5, 2:51,"Night Game, on grass",Philadelphia Phillies,0,7,2, 7:07 p.m. , Citizens Bank Park,Monday,18,April, 2016
31,"21,078",Milwaukee Brewers,1,6,4, 2:21,"Night Game, on grass",Minnesota Twins,1,14,7, 7:11 p.m. , Target Field,Monday,18,April, 2016
32,"16,112",Washington Nationals,1,6,1, 2:43,"Night Game, on grass",Miami Marlins,0,10,6, 7:11 p.m. , Marlins Park,Monday,18,April, 2016
33,"12,777",Colorado Rockies,1,7,5, 2:41,"Night Game, on grass",Cincinnati Reds,0,4,1, 7:10 p.m. , Great American Ball Park,Monday,18,April, 2016
34,"14,706",Los Angeles Angels of Anaheim,0,13,7, 2:58,"Night Game, on grass",Chicago White Sox,1,3,0, 7:11 p.m. , U.S. Cellular Field,Monday,18,April, 2016
35,"37,168",Toronto Blue Jays,0,8,4, 3:12,"Day Game, on grass",Boston Red Sox,1,7,3, 11:07 a.m. , Fenway Park,Monday,18,April, 2016
36,"21,810",Chicago White Sox,1,5,2, 2:36,"Day Game, on turf",Tampa Bay Rays,0,8,3, 1:10 p.m. , Tropicana Field,Sunday,17,April, 2016
37,"46,268",Cincinnati Reds,1,8,3, 2:44,"Day Game, on grass",St. Louis Cardinals,2,7,4, 1:15 p.m. , Busch Stadium III,Sunday,17,April, 2016
38,"16,497",Chicago Cubs,0,18,16, 2:56,"Night Game, on grass",Cincinnati Reds,1,0,0, 7:11 p.m. , Great American Ball Park,Thursday,21,April, 2016
39,"24,333",Chicago White Sox,0,11,7, 3:24,"Night Game, on turf",Toronto Blue Jays,0,14,5, 7:08 p.m. , Rogers Centre,Monday,25,April, 2016
40,"31,453",New York Yankees,1,10,3, 2:46,"Night Game, on grass",Texas Rangers,0,3,1, 7:10 p.m. , Globe Life Park in Arlington,Monday,25,April, 2016
41,"12,996",Baltimore Orioles,0,5,0, 2:37,"Night Game, on turf",Tampa Bay Rays,0,5,2, 7:10 p.m. , Tropicana Field,Monday,25,April, 2016
42,"41,266",San Diego Padres,0,11,4, 3:47,"Night Game, on grass",San Francisco Giants,0,12,5, 7:15 p.m. , AT&T Park,Monday,25,April, 2016
43,"14,832",Houston Astros,0,10,2, 2:40,"Night Game, on grass",Seattle Mariners,0,4,3, 7:11 p.m. , Safeco Field,Monday,25,April, 2016
44,"30,250",Cincinnati Reds,0,8,3, 3:11,"Night Game, on grass",New York Mets,1,10,5, 7:10 p.m. , Citi Field,Monday,25,April, 2016
45,"17,503",Cleveland Indians,0,12,3, 3:24,"Night Game, on grass",Minnesota Twins,1,5,4, 7:11 p.m. , Target Field,Monday,25,April, 2016
46,"44,954",Miami Marlins,1,8,3, 2:51,"Night Game, on grass",Los Angeles Dodgers,0,7,2, 7:10 p.m. , Dodger Stadium,Monday,25,April, 2016
47,"21,671",Oakland Athletics,0,10,3, 2:39,"Night Game, on grass",Detroit Tigers,2,12,7, 7:10 p.m. , Comerica Park,Monday,25,April, 2016
48,"20,674",Pittsburgh Pirates,0,9,6, 2:59,"Night Game, on grass",Colorado Rockies,0,9,1, 6:40 p.m. , Coors Field,Monday,25,April, 2016
49,"22,735",Boston Red Sox,0,6,1, 2:55,"Night Game, on grass",Atlanta Braves,2,4,0, 7:10 p.m. , Turner Field,Monday,25,April, 2016
50,"18,208",St. Louis Cardinals,1,11,7, 3:26,"Night Game, on grass",Arizona Diamondbacks,0,18,12, 6:40 p.m. , Chase Field,Monday,25,April, 2016
51,"41,357",San Diego Padres,1,9,9, 3:21,"Day Game, on grass",San Francisco Giants,0,16,13, 12:45 p.m. , AT&T Park,Wednesday,27,April, 2016
52,"27,217",Toronto Blue Jays,0,5,5, 2:34,"Day Game, on turf",Tampa Bay Rays,1,4,1, 1:10 p.m. , Tropicana Field,Sunday,1,May, 2016
53,"42,933",Washington Nationals,0,11,6, 2:47,"Day Game, on grass",St. Louis Cardinals,0,6,1, 1:15 p.m. , Busch Stadium III,Sunday,1,May, 2016
54,"37,053",Kansas City Royals,0,11,4, 3:14,"Day Game, on grass",Seattle Mariners,1,8,1, 1:10 p.m. , Safeco Field,Sunday,1,May, 2016
55,"28,755",Cincinnati Reds,0,8,6, 3:42,"Day Game, on grass",Pittsburgh Pirates,4,9,5, 1:36 p.m. , PNC Park,Sunday,1,May, 2016
56,"23,809",Cleveland Indians,0,4,1, 2:40,"Day Game, on grass",Philadelphia Phillies,2,4,2, 2:40 p.m. , Citizens Bank Park,Sunday,1,May, 2016
57,"24,135",Houston Astros,0,2,2, 2:50,"Day Game, on grass",Oakland Athletics,0,8,1, 1:07 p.m. , Oakland-Alameda County Coliseum,Sunday,1,May, 2016
58,"39,077",San Francisco Giants,0,8,6, 3:19,"Day Game, on grass",New York Mets,0,10,1, 1:12 p.m. , Citi Field,Sunday,1,May, 2016
59,"24,749",Detroit Tigers,0,14,6, 3:33,"Day Game, on grass",Minnesota Twins,0,11,5, 1:11 p.m. , Target Field,Sunday,1,May, 2016
60,"28,181",Miami Marlins,1,16,5, 3:21,"Day Game, on grass",Milwaukee Brewers,0,18,14, 1:11 p.m. , Miller Park,Sunday,1,May, 2016
61,"49,271",San Diego Padres,1,3,0, 2:07,"Day Game, on grass",Los Angeles Dodgers,0,3,1, 1:10 p.m. , Dodger Stadium,Sunday,1,May, 2016
62,"40,164",Atlanta Braves,1,5,4, 3:04,"Day Game, on grass",Chicago Cubs,1,6,3, 1:21 p.m. , Wrigley Field,Sunday,1,May, 2016
63,"34,279",New York Yankees,2,9,7, 3:17,"Night Game, on grass",Boston Red Sox,0,14,8, 8:09 p.m. , Fenway Park,Sunday,1,May, 2016
64,"40,087",Philadelphia Phillies,0,5,1, 2:31,"Night Game, on grass",St. Louis Cardinals,0,3,0, 7:15 p.m. , Busch Stadium III,Tuesday,3,May, 2016
65,"42,338",Pittsburgh Pirates,0,11,4, 3:23,"Day Game, on grass",St. Louis Cardinals,1,9,6, 1:16 p.m. , Busch Stadium III,Saturday,7,May, 2016
66,"41,590",Colorado Rockies,0,12,1, 4:20,"Day Game, on grass",San Francisco Giants,0,7,2, 1:05 p.m. , AT&T Park,Saturday,7,May, 2016
67,"41,028",New York Mets,0,9,6, 2:52,"Night Game, on grass",San Diego Padres,0,8,3, 5:41 p.m. , Petco Park,Saturday,7,May, 2016
68,"47,822",Boston Red Sox,0,6,2, 3:09,"Day Game, on grass",New York Yankees,1,11,8, 1:08 p.m. , Yankee Stadium III,Saturday,7,May, 2016
69,"21,719",Philadelphia Phillies,0,5,4, 3:20,"Night Game, on grass",Miami Marlins,1,10,3, 7:10 p.m. , Marlins Park,Saturday,7,May, 2016
70,"31,559",Seattle Mariners,0,11,3, 3:27,"Night Game, on grass",Houston Astros,1,8,2, 6:11 p.m. , Minute Maid Park,Saturday,7,May, 2016
71,"35,551",Texas Rangers,0,10,10, 3:14,"Day Game, on grass",Detroit Tigers,0,11,5, 1:10 p.m. , Comerica Park,Saturday,7,May, 2016
72,"17,302",Kansas City Royals,0,12,7, 2:41,"Day Game, on grass",Cleveland Indians,0,6,0, 4:10 p.m. , Progressive Field,Saturday,7,May, 2016
73,"27,567",Milwaukee Brewers,2,15,13, 3:38,"Night Game, on grass",Cincinnati Reds,3,11,7, 7:10 p.m. , Great American Ball Park,Saturday,7,May, 2016
74,"40,471",Washington Nationals,0,6,5, 3:32,"Day Game, on grass",Chicago Cubs,1,11,8, 3:05 p.m. , Wrigley Field,Saturday,7,May, 2016
75,"28,049",Minnesota Twins,0,4,2, 2:58,"Night Game, on grass",Chicago White Sox,0,13,7, 6:10 p.m. , U.S. Cellular Field,Saturday,7,May, 2016
76,"29,862",Oakland Athletics,1,9,2, 2:32,"Night Game, on grass",Baltimore Orioles,0,8,5, 7:07 p.m. , Oriole Park at Camden Yards,Saturday,7,May, 2016
77,"15,230",Tampa Bay Rays,1,4,2, 3:05,"Night Game, on grass",Seattle Mariners,0,9,5, 7:10 p.m. , Safeco Field,Monday,9,May, 2016
78,"14,604",Oakland Athletics,1,11,6, 3:07,"Night Game, on turf",Tampa Bay Rays,0,5,3, 7:10 p.m. , Tropicana Field,Friday,13,May, 2016
79,"34,579",Los Angeles Angels of Anaheim,0,13,7, 3:41,"Night Game, on grass",Seattle Mariners,0,10,6, 7:10 p.m. , Safeco Field,Friday,13,May, 2016
80,"22,230",Cincinnati Reds,0,4,2, 2:37,"Night Game, on grass",Philadelphia Phillies,1,7,3, 7:09 p.m. , Citizens Bank Park,Friday,13,May, 2016
81,"34,264",Chicago White Sox,0,9,7, 2:45,"Night Game, on grass",New York Yankees,0,6,1, 7:08 p.m. , Yankee Stadium III,Friday,13,May, 2016
82,"35,291",San Diego Padres,0,3,0, 2:56,"Night Game, on grass",Milwaukee Brewers,2,7,1, 7:10 p.m. , Miller Park,Friday,13,May, 2016
83,"46,716",St. Louis Cardinals,4,9,4, 3:01,"Night Game, on grass",Los Angeles Dodgers,1,11,8, 7:10 p.m. , Dodger Stadium,Friday,13,May, 2016
84,"33,132",Atlanta Braves,2,7,1, 2:45,"Night Game, on grass",Kansas City Royals,1,7,5, 7:15 p.m. , Kauffman Stadium,Friday,13,May, 2016
85,"38,712",New York Mets,0,6,2, 2:48,"Night Game, on grass",Colorado Rockies,0,12,5, 6:42 p.m. , Coors Field,Friday,13,May, 2016
86,"17,803",Minnesota Twins,1,8,6, 3:07,"Night Game, on grass",Cleveland Indians,2,8,7, 7:10 p.m. , Progressive Field,Friday,13,May, 2016
87,"37,479",Pittsburgh Pirates,0,11,4, 2:55,"Day Game, on grass",Chicago Cubs,1,11,9, 1:20 p.m. , Wrigley Field,Friday,13,May, 2016
88,"33,148",Houston Astros,0,13,7, 3:49,"Night Game, on grass",Boston Red Sox,0,11,6, 7:10 p.m. , Fenway Park,Friday,13,May, 2016
89,"30,488",Detroit Tigers,0,6,0, 2:39,"Night Game, on grass",Baltimore Orioles,0,4,1, 7:07 p.m. , Oriole Park at Camden Yards,Friday,13,May, 2016
90,"27,869",Cincinnati Reds,1,14,9, 3:52,"Day Game, on grass",Philadelphia Phillies,2,12,4, 1:39 p.m. , Citizens Bank Park,Sunday,15,May, 2016
91,"27,257",Atlanta Braves,0,8,7, 3:00,"Night Game, on grass",Philadelphia Phillies,2,6,1, 7:07 p.m. , Citizens Bank Park,Friday,20,May, 2016
92,"28,235",New York Yankees,1,13,8, 3:13,"Night Game, on grass",Oakland Athletics,3,6,3, 6:38 p.m. , Oakland-Alameda County Coliseum,Friday,20,May, 2016
93,"36,239",Milwaukee Brewers,0,3,2, 2:31,"Night Game, on grass",New York Mets,0,7,3, 7:11 p.m. , Citi Field,Friday,20,May, 2016
94,"29,396",Toronto Blue Jays,2,14,9, 2:48,"Night Game, on grass",Minnesota Twins,0,10,3, 7:11 p.m. , Target Field,Friday,20,May, 2016
95,"20,017",Washington Nationals,0,8,4, 2:53,"Night Game, on grass",Miami Marlins,0,9,1, 7:11 p.m. , Marlins Park,Friday,20,May, 2016
96,"28,724",Texas Rangers,0,5,2, 2:33,"Night Game, on grass",Houston Astros,0,6,1, 7:11 p.m. , Minute Maid Park,Friday,20,May, 2016
97,"30,304",Tampa Bay Rays,2,8,7, 3:26,"Night Game, on grass",Detroit Tigers,1,11,5, 7:10 p.m. , Comerica Park,Friday,20,May, 2016
98,"20,435",Seattle Mariners,0,10,8, 3:10,"Night Game, on grass",Cincinnati Reds,0,8,3, 7:55 p.m. , Great American Ball Park,Friday,20,May, 2016
99,"24,020",Kansas City Royals,1,12,4, 2:59,"Night Game, on grass",Chicago White Sox,1,6,1, 7:11 p.m. , U.S. Cellular Field,Friday,20,May, 2016
100,"37,354",Cleveland Indians,1,8,4, 3:07,"Night Game, on grass",Boston Red Sox,1,6,2, 7:11 p.m. , Fenway Park,Friday,20,May, 2016
101,"40,987",Baltimore Orioles,1,14,9, 3:20,"Night Game, on grass",Los Angeles Angels of Anaheim,1,7,4, 7:08 p.m. , Angel Stadium of Anaheim,Friday,20,May, 2016
102,"43,683",Colorado Rockies,0,9,7, 3:16,"Night Game, on grass",St. Louis Cardinals,0,12,13, 6:16 p.m. , Busch Stadium III,Thursday,19,May, 2016
103,"41,280",Baltimore Orioles,1,5,2, 2:33,"Day Game, on grass",Los Angeles Angels of Anaheim,0,13,10, 12:39 p.m. , Angel Stadium of Anaheim,Sunday,22,May, 2016
104,"26,176",St. Louis Cardinals,0,6,1, 2:27,"Night Game, on grass",Washington Nationals,1,7,2, 7:05 p.m. , Nationals Park,Thursday,26,May, 2016
105,"11,399",Miami Marlins,0,15,9, 2:51,"Day Game, on turf",Tampa Bay Rays,1,7,1, 1:10 p.m. , Tropicana Field,Thursday,26,May, 2016
106,"30,861",Arizona Diamondbacks,1,13,3, 3:40,"Day Game, on grass",Pittsburgh Pirates,1,12,8, 12:39 p.m. , PNC Park,Thursday,26,May, 2016
107,"38,391",Toronto Blue Jays,0,6,3, 2:34,"Day Game, on grass",New York Yankees,1,4,1, 4:07 p.m. , Yankee Stadium III,Thursday,26,May, 2016
108,"23,826",Baltimore Orioles,1,5,2, 3:03,"Night Game, on grass",Houston Astros,1,6,4, 7:10 p.m. , Minute Maid Park,Thursday,26,May, 2016
109,"36,162",Colorado Rockies,0,12,8, 2:51,"Night Game, on grass",Boston Red Sox,1,6,2, 7:12 p.m. , Fenway Park,Thursday,26,May, 2016
110,"14,885",Milwaukee Brewers,0,10,6, 3:05,"Night Game, on grass",Atlanta Braves,0,8,2, 7:10 p.m. , Turner Field,Thursday,26,May, 2016
111,"38,700",New York Mets,0,5,2, 2:38,"Day Game, on grass",Washington Nationals,2,6,0, 1:05 p.m. , Nationals Park,Wednesday,25,May, 2016
112,"32,480",Los Angeles Angels of Anaheim,2,14,9, 3:34,"Day Game, on grass",Texas Rangers,0,18,15, 1:08 p.m. , Globe Life Park in Arlington,Wednesday,25,May, 2016
113,"13,554",Miami Marlins,0,13,4, 3:22,"Night Game, on turf",Tampa Bay Rays,2,9,3, 7:10 p.m. , Tropicana Field,Wednesday,25,May, 2016
114,"45,565",Chicago Cubs,1,10,9, 3:38,"Day Game, on grass",St. Louis Cardinals,1,13,8, 12:47 p.m. , Busch Stadium III,Wednesday,25,May, 2016
115,"41,363",San Diego Padres,1,9,3, 3:22,"Day Game, on grass",San Francisco Giants,0,10,4, 12:45 p.m. , AT&T Park,Wednesday,25,May, 2016
116,"36,538",Houston Astros,2,14,8, 4:57,"Day Game, on grass",Los Angeles Angels of Anaheim,1,12,6, 12:37 p.m. , Angel Stadium of Anaheim,Sunday,29,May, 2016
117,"21,764",Arizona Diamondbacks,1,7,3, 2:36,"Day Game, on grass",Houston Astros,0,5,0, 1:11 p.m. , Minute Maid Park,Thursday,2,June, 2016
118,"28,213",New York Yankees,1,8,5, 2:56,"Night Game, on grass",Detroit Tigers,0,11,4, 7:40 p.m. , Comerica Park,Thursday,2,June, 2016
119,"28,080",Cincinnati Reds,0,14,11, 2:44,"Night Game, on grass",Colorado Rockies,1,5,4, 6:40 p.m. , Coors Field,Thursday,2,June, 2016
120,"11,131",Kansas City Royals,3,12,4, 2:54,"Night Game, on grass",Cleveland Indians,1,11,5, 7:10 p.m. , Progressive Field,Thursday,2,June, 2016
121,"37,422",Los Angeles Dodgers,1,3,2, 2:25,"Day Game, on grass",Chicago Cubs,0,10,7, 1:20 p.m. , Wrigley Field,Thursday,2,June, 2016
122,"21,534",Boston Red Sox,0,12,7, 2:57,"Night Game, on grass",Baltimore Orioles,1,11,12, 7:07 p.m. , Oriole Park at Camden Yards,Thursday,2,June, 2016
123,"15,983",San Francisco Giants,1,8,6, 2:49,"Day Game, on grass",Atlanta Braves,1,4,0, 12:10 p.m. , Turner Field,Thursday,2,June, 2016
124,"39,512",New York Yankees,2,7,0, 2:57,"Night Game, on turf",Toronto Blue Jays,1,12,7, 7:07 p.m. , Rogers Centre,Wednesday,1,June, 2016
125,"20,557",Seattle Mariners,2,14,6, 3:20,"Night Game, on grass",San Diego Padres,1,19,14, 7:11 p.m. , Petco Park,Wednesday,1,June, 2016
126,"19,052",Washington Nationals,0,12,7, 2:45,"Night Game, on grass",Philadelphia Phillies,1,6,2, 7:08 p.m. , Citizens Bank Park,Wednesday,1,June, 2016
127,"11,345",Minnesota Twins,0,6,1, 2:33,"Day Game, on grass",Oakland Athletics,0,11,5, 12:37 p.m. , Oakland-Alameda County Coliseum,Wednesday,1,June, 2016
128,"34,160",Chicago White Sox,0,7,2, 4:41,"Day Game, on grass",New York Mets,0,7,1, 1:10 p.m. , Citi Field,Wednesday,1,June, 2016
129,"45,453",San Francisco Giants,0,6,4, 2:39,"Night Game, on grass",St. Louis Cardinals,1,12,7, 6:15 p.m. , Busch Stadium III,Saturday,4,June, 2016
130,"41,448",Baltimore Orioles,0,11,6, 3:12,"Night Game, on turf",Toronto Blue Jays,0,8,5, 7:08 p.m. , Rogers Centre,Thursday,9,June, 2016
131,"30,145",Houston Astros,0,7,3, 2:51,"Day Game, on grass",Texas Rangers,1,8,5, 1:07 p.m. , Globe Life Park in Arlington,Thursday,9,June, 2016
132,"19,901",Cleveland Indians,0,7,5, 3:39,"Night Game, on grass",Seattle Mariners,1,13,3, 7:10 p.m. , Safeco Field,Thursday,9,June, 2016
133,"34,971",Los Angeles Angels of Anaheim,0,8,3, 2:58,"Night Game, on grass",New York Yankees,1,11,6, 7:10 p.m. , Yankee Stadium III,Thursday,9,June, 2016
134,"18,792",Miami Marlins,0,18,10, 3:04,"Night Game, on grass",Minnesota Twins,2,7,3, 7:10 p.m. , Target Field,Thursday,9,June, 2016
135,"22,980",New York Mets,1,13,5, 3:04,"Night Game, on grass",Milwaukee Brewers,0,10,2, 7:10 p.m. , Miller Park,Thursday,9,June, 2016
136,"24,678",Pittsburgh Pirates,0,7,5, 2:53,"Day Game, on grass",Colorado Rockies,3,14,11, 3:10 p.m. , Coors Field,Thursday,9,June, 2016
137,"24,516",St. Louis Cardinals,0,8,3, 2:56,"Night Game, on grass",Cincinnati Reds,0,4,2, 7:10 p.m. , Great American Ball Park,Thursday,9,June, 2016
138,"20,014",Washington Nationals,0,5,1, 2:21,"Night Game, on grass",Chicago White Sox,0,5,3, 7:11 p.m. , U.S. Cellular Field,Thursday,9,June, 2016
139,"37,696",Houston Astros,1,7,3, 2:49,"Night Game, on grass",Texas Rangers,1,10,1, 7:07 p.m. , Globe Life Park in Arlington,Wednesday,8,June, 2016
140,"41,635",Boston Red Sox,0,5,1, 2:45,"Night Game, on grass",San Francisco Giants,1,3,2, 7:15 p.m. , AT&T Park,Wednesday,8,June, 2016
141,"15,337",Cleveland Indians,0,3,0, 2:41,"Night Game, on grass",Seattle Mariners,0,7,5, 7:10 p.m. , Safeco Field,Wednesday,8,June, 2016
142,"31,625",Chicago Cubs,4,16,13, 3:42,"Day Game, on grass",Atlanta Braves,1,7,2, 1:36 p.m. , Turner Field,Sunday,12,June, 2016
143,"33,568",Detroit Tigers,0,13,10, 3:15,"Night Game, on grass",Kansas City Royals,0,10,4, 7:14 p.m. , Kauffman Stadium,Thursday,16,June, 2016
144,"36,757",Baltimore Orioles,0,11,5, 2:53,"Night Game, on grass",Boston Red Sox,0,4,1, 7:11 p.m. , Fenway Park,Thursday,16,June, 2016
145,"21,885",Cincinnati Reds,1,8,2, 2:56,"Day Game, on grass",Atlanta Braves,0,9,7, 12:10 p.m. , Turner Field,Thursday,16,June, 2016
146,"42,000",Chicago Cubs,0,11,4, 4:17,"Day Game, on grass",Washington Nationals,0,9,5, 4:06 p.m. , Nationals Park,Wednesday,15,June, 2016
147,"12,239",Seattle Mariners,2,8,2, 4:38,"Night Game, on turf",Tampa Bay Rays,0,8,3, 7:10 p.m. , Tropicana Field,Wednesday,15,June, 2016
148,"42,008",Houston Astros,0,9,4, 2:56,"Night Game, on grass",St. Louis Cardinals,0,8,1, 6:17 p.m. , Busch Stadium III,Wednesday,15,June, 2016
149,"41,811",Milwaukee Brewers,4,8,1, 2:56,"Day Game, on grass",San Francisco Giants,0,16,10, 12:46 p.m. , AT&T Park,Wednesday,15,June, 2016
150,"20,037",Miami Marlins,0,9,3, 2:58,"Day Game, on grass",San Diego Padres,0,13,6, 12:40 p.m. , Petco Park,Wednesday,15,June, 2016
151,"24,753",Toronto Blue Jays,0,9,7, 2:51,"Night Game, on grass",Philadelphia Phillies,0,6,2, 7:08 p.m. , Citizens Bank Park,Wednesday,15,June, 2016
152,"10,115",Texas Rangers,2,10,7, 3:08,"Night Game, on grass",Oakland Athletics,0,7,5, 7:07 p.m. , Oakland-Alameda County Coliseum,Wednesday,15,June, 2016
153,"32,117",Pittsburgh Pirates,0,5,2, 3:06,"Night Game, on grass",New York Mets,1,19,11, 7:11 p.m. , Citi Field,Wednesday,15,June, 2016
154,"33,546",Cleveland Indians,3,5,4, 2:47,"Night Game, on grass",Kansas City Royals,2,10,9, 7:15 p.m. , Kauffman Stadium,Wednesday,15,June, 2016
155,"25,078",Los Angeles Angels of Anaheim,0,13,7, 3:05,"Day Game, on grass",Oakland Athletics,2,5,1, 1:08 p.m. , Oakland-Alameda County Coliseum,Saturday,18,June, 2016
156,"40,104",Colorado Rockies,1,9,8, 3:25,"Day Game, on grass",New York Yankees,1,10,9, 1:09 p.m. , Yankee Stadium III,Wednesday,22,June, 2016
157,"25,032",Philadelphia Phillies,1,9,5, 2:48,"Night Game, on grass",Minnesota Twins,1,13,6, 8:20 p.m. , Target Field,Wednesday,22,June, 2016
158,"22,642",Atlanta Braves,0,6,0, 2:27,"Day Game, on grass",Miami Marlins,0,9,3, 12:13 p.m. , Marlins Park,Wednesday,22,June, 2016
159,"43,776",Washington Nationals,1,11,3, 3:35,"Night Game, on grass",Los Angeles Dodgers,0,9,4, 7:10 p.m. , Dodger Stadium,Wednesday,22,June, 2016
160,"29,649",Los Angeles Angels of Anaheim,0,10,2, 3:09,"Day Game, on grass",Houston Astros,0,8,3, 1:11 p.m. , Minute Maid Park,Wednesday,22,June, 2016
161,"31,497",Seattle Mariners,0,3,1, 2:39,"Night Game, on grass",Detroit Tigers,0,12,5, 7:10 p.m. , Comerica Park,Wednesday,22,June, 2016
162,"21,216",Tampa Bay Rays,0,3,1, 2:30,"Night Game, on grass",Cleveland Indians,1,9,6, 7:10 p.m. , Progressive Field,Wednesday,22,June, 2016
163,"41,058",St. Louis Cardinals,0,9,7, 3:02,"Day Game, on grass",Chicago Cubs,1,3,2, 1:22 p.m. , Wrigley Field,Wednesday,22,June, 2016
164,"37,413",Chicago White Sox,0,10,8, 3:38,"Night Game, on grass",Boston Red Sox,1,13,6, 7:12 p.m. , Fenway Park,Wednesday,22,June, 2016
